CUSTOMER_ID,CUSTOMER_NAME,PRO_XTRA_MEMBER,MANAGED_ACCOUNT
1,CUST_01518,True,True
2,CUST_05331,True,False
3,CUST_05612,True,True
4,CUST_02962,True,False
5,CUST_03656,True,False
6,CUST_05154,False,False
7,CUST_02040,True,False
8,CUST_05020,True,False
9,CUST_04758,True,False
10,CUST_01661,False,False
11,CUST_02719,True,False
12,CUST_05482,True,True
13,CUST_04149,False,False
14,CUST_04910,True,False
15,CUST_05445,True,False
16,CUST_02101,True,False
17,CUST_02771,True,True
18,CUST_00509,False,False
19,CUST_06068,False,False
20,CUST_02135,True,False
21,CUST_04741,True,False
22,CUST_03735,True,False
23,CUST_05642,False,False
24,CUST_02018,True,False
25,CUST_01682,True,False
26,CUST_02191,False,False
27,CUST_02018,True,True
28,CUST_05622,False,False
29,CUST_01155,False,False
30,CUST_06326,False,False
31,CUST_02581,True,False
32,CUST_03303,False,False
33,CUST_03796,True,False
34,CUST_04122,True,False
35,CUST_01439,False,False
36,CUST_03791,False,False
37,CUST_05274,True,False
38,CUST_03165,True,False
39,CUST_00396,False,False
40,CUST_06384,True,False
41,CUST_06288,True,True
42,CUST_05551,False,False
43,CUST_05575,True,False
44,CUST_04825,False,False
45,CUST_04460,True,True
46,CUST_03663,True,False
47,CUST_05918,False,False
48,CUST_00110,True,False
49,CUST_01259,False,False
50,CUST_04499,False,False
51,CUST_06023,True,False
52,CUST_03835,False,False
53,CUST_04313,False,False
54,CUST_00895,False,False
55,CUST_01172,True,False
56,CUST_00736,False,False
57,CUST_04921,False,False
58,CUST_05724,False,False
59,CUST_05254,True,True
60,CUST_04717,True,False
61,CUST_05719,True,True
62,CUST_02893,False,False
63,CUST_03395,True,False
64,CUST_04072,False,False
65,CUST_05960,True,False
66,CUST_05255,True,False
67,CUST_05335,True,True
68,CUST_06374,True,False
69,CUST_01816,False,False
70,CUST_06410,False,False
71,CUST_05723,True,False
72,CUST_02696,True,False
73,CUST_01361,False,False
74,CUST_01887,True,True
75,CUST_03106,True,True
76,CUST_01325,True,True
77,CUST_05645,False,False
78,CUST_05027,True,False
79,CUST_03623,True,False
80,CUST_02702,True,False
81,CUST_03449,False,False
82,CUST_01521,True,True
83,CUST_02917,True,True
84,CUST_01565,False,False
85,CUST_05739,False,False
86,CUST_05818,False,False
87,CUST_01737,True,False
88,CUST_03953,True,False
89,CUST_06038,True,False
90,CUST_04087,False,False
91,CUST_05976,True,False
92,CUST_03149,False,False
93,CUST_01252,True,False
94,CUST_05644,True,False
95,CUST_04953,True,False
96,CUST_02611,True,False
97,CUST_03865,False,False
98,CUST_01622,False,False
99,CUST_00986,False,False
100,CUST_03717,True,True
101,CUST_04212,True,False
102,CUST_04384,True,False
103,CUST_05875,False,False
104,CUST_05458,True,False
105,CUST_02083,True,False
106,CUST_04956,False,False
107,CUST_02601,True,True
