DATA_ID,PRODUCT_ID
2204,497
2204,1928
2204,219
2204,1172
2204,2470
2204,1189
2204,357
882,809
5308,1733
5308,2421
5308,2053
3534,1569
2859,2069
2626,2148
566,498
566,2255
566,149
1154,1936
1154,714
1154,2218
4796,2041
4796,429
4240,1688
4240,282
4240,1569
4240,203
4034,796
4034,2301
4974,1468
1513,2060
1496,1773
1496,2330
1496,2236
1496,1607
5192,1928
5192,443
5192,1868
293,906
293,2347
293,854
293,1177
293,88
293,1708
293,1610
293,1095
293,692
3102,1569
597,27
597,867
597,2294
597,219
597,528
597,2472
3343,27
3343,867
3343,2294
3343,219
3343,528
3343,2472
5218,1911
1955,243
1955,345
1955,320
1955,1039
1955,1704
1955,1708
1955,1779
1955,2161
1955,568
1955,1758
3007,1868
2302,1569
4944,1569
1312,180
2368,1470
2945,1470
2945,1758
4410,1457
4410,626
4410,1569
951,2266
951,699
951,71
1847,2266
1847,699
1847,71
3285,168
472,1094
1466,1879
1466,2268
1466,1569
3378,1566
3378,1128
3378,1019
3378,2330
3378,1451
3378,1459
54,1566
54,1128
54,1019
54,2330
54,1451
54,1459
3889,1347
3889,1025
3889,863
3889,548
3889,443
3889,249
3889,2420
3889,2287
3889,1046
2411,177
2411,1775
2411,2503
2411,1781
2411,1128
2411,71
2411,1879
2411,1797
2411,1569
2411,1802
2411,1687
2411,722
4800,2490
4800,966
4800,535
5144,2135
3170,2135
3839,1177
3839,1506
1491,2416
1491,1846
1491,1351
3323,1569
3656,1569
3357,756
3357,2161
3357,1308
3357,2205
2075,102
2303,1470
2920,2161
2920,1758
5743,1470
5323,1467
5323,2290
5323,698
5323,32
5323,2052
5323,285
5323,1625
5323,259
637,1347
637,2398
637,411
637,993
637,2014
3927,1347
3927,2398
3927,411
3927,993
3927,2014
1394,845
1394,768
1394,1651
1394,1569
1565,1177
5985,548
1316,1491
1316,1708
1316,1392
4521,320
4521,714
4521,1177
3749,1019
4503,1484
3722,2080
3722,665
3722,2014
2746,1716
2746,1409
2746,1082
2746,1177
2746,1491
2746,2389
2746,1704
2746,2474
2746,1403
2746,1779
2746,33
2746,1673
2746,1758
2746,1607
2746,1037
2746,544
2746,2034
2746,196
4535,1151
4535,191
1017,1232
1017,1928
1017,443
1017,252
1017,569
1017,731
4317,548
4317,2036
4317,2221
5035,2173
5035,1404
5035,570
5035,742
5987,714
5987,100
5987,568
5987,790
5987,2113
5987,1607
5708,2029
5708,1298
5708,1898
5708,935
5708,1181
5708,2147
592,1066
4742,548
2477,578
3040,854
3040,1177
3040,1491
5284,2136
5284,1758
5589,1569
3399,1948
2590,612
2590,1689
2298,612
2436,612
3601,612
5805,396
5805,2120
5805,510
5805,1553
5871,1748
5871,2452
318,2194
318,1251
318,2014
5669,2018
5669,1347
5669,1025
5669,502
5669,1629
5669,443
4539,1948
2285,1347
2285,2080
2285,665
2285,1232
2285,2447
2285,1651
2285,992
2285,252
2285,1691
2285,146
